FRET Efficiency,Stoichiometry,Proximity Ratio,Stoichiometry (raw),Lifetime D [ns],Lifetime A [ns],Anisotropy D,Anisotropy A,|TDX-TAA| Filter,ALEX 2CDE Filter,|TDD-TDA| Filter,FRET 2CDE Filter,Duration [ms],Mean Macrotime [s],Number of Photons,Count rate [kHz],Count rate (DD) [kHz],Count rate (DA) [kHz],Count rate (AA) [kHz],Count rate (DD par) [kHz],Count rate (DD perp) [kHz],Count rate (DA par) [kHz],Count rate (DA perp) [kHz],Count rate (AA par) [kHz],Count rate (AA perp) [kHz],Number of Photons (DD),Number of Photons (DA),Number of Photons (AA),Number of Photons (DD par),Number of Photons (DD perp),Number of Photons (DA par),Number of Photons (DA perp),Number of Photons (AA par),Number of Photons (AA perp),log(FD/FA),M1-M2,Number of Photons (DX),Count rate (DX) [kHz],Distance (from intensity) [A],FRET efficiency (from lifetime),Distance (from lifetime) [A],FRET efficiency (sens. Acc. Em.)
0.27572,0.55795,0.25253,0.63057,0,0,-0.28506,-0.05271,0.069776,7.3762,0.016896,8.9846,1.5032,35.544,157,104.44,52.815,25.741,38.714,26.121,37.827,18.534,9.6663,22.027,21.539,74,25,58,21,53,18,7,33,25,0.96578,0.72428,99,65.858,82.225,1,0,0.2099
0.22608,0.64432,0.2071,0.71008,0,0,-0.18869,0.37642,0.022081,7.0062,0.091118,11.055,2.0515,41.313,238,116.01,65.319,21.735,43.615,30.88,40.615,13.028,11.608,35.398,9.4542,134,35,69,51,83,20,15,56,13,1.2306,0.77392,169,82.38,85.935,1,0,0.24702
0.17047,0.5998,0.16764,0.67378,0,0,-0.18051,0.12912,0.033148,2.2532,0.088998,9.6726,4.2702,41.317,1266,296.48,170.13,35.196,101.45,67.704,105.16,22.282,13.701,70.011,33.41,710,143,413,276,434,90,53,285,128,1.5823,0.82953,853,199.76,91.123,1,0,0.1541
0.69628,0.4917,0.62069,0.54206,0,0,-0.14938,0.44107,0.047461,8.2135,0.069295,12.511,2.2598,44.233,107,47.349,12.148,16.836,22.835,7.6545,7.8405,12.16,5.863,19.107,5.1359,22,36,49,9,13,26,10,41,8,-0.82965,0.30372,58,25.666,60.96,1,0,0.40625
0.80918,0.60776,0.75605,0.634,0,0,-0.25031,0.086284,0.056665,2.6183,0.050932,9.0887,4.8029,44.253,847,176.35,27.523,85.886,68.013,9.57,18.699,54.381,34.904,47.487,22.928,131,406,310,42,89,241,165,206,104,-1.4447,0.19082,537,111.81,55.021,1,0,0.75621
0.069004,0.6482,0.090909,0.72263,0,0,-0.2035,0.21398,0.0057093,6.5335,0.023742,10.348,0.94455,51.259,137,145.04,108.05,10.926,47.288,47.792,68.431,9.712,Inf,34.844,17.565,90,9,38,33,57,8,1,28,10,2.6021,0.931,99,104.81,108.01,1,0,0.076686
0.21607,0.54347,0.20792,0.62154,0,0,-0.1945,0.23602,0.094227,4.8045,0.18196,8.8308,2.9513,51.279,325,110.12,54.213,14.413,42.169,20.33,35.827,8.236,8.5191,31.541,11.912,160,42,123,60,100,24,18,92,31,1.2887,0.78393,202,68.444,86.772,1,0,0.15514
0.1215,0.63653,0.12883,0.70931,0,0,-0.17283,0.14704,0.092206,4.0659,0.21238,11.025,5.7743,51.285,1149,198.99,122.96,19.681,60.544,52.442,74.295,11.809,9.2293,42.417,20.009,710,105,334,281,429,63,42,234,100,1.9783,0.8785,815,141.14,97.341,1,0,0.12833
0.51229,0.5547,0.45105,0.61111,0,0,-0.12775,0.059299,0.11246,6.571,0.087576,13.314,5.9135,52.226,468,79.142,28.87,25.361,32.068,14.349,16.366,15.44,10.323,22.388,11.593,157,129,182,68,89,78,51,118,64,-0.04918,0.48771,286,48.364,69.429,1,0,0.3849
0.54348,0.64525,0.47417,0.69076,0,0,-0.17943,0.12048,0.11803,9.7959,0.15035,12.197,15.939,52.243,1093,68.574,24.92,22.938,21.581,9.8636,15.253,14.096,9.6588,14.867,7.1885,397,358,338,154,243,220,138,232,106,-0.17435,0.45652,755,47.368,67.995,1,0,0.59623
