time_ns,intensity,fit,wres
0.90861,5130,6275.21864626069,-15.9893101944938
0.91838,4923,6221.38055990551,-18.5049146555945
0.92815,4950,6167.62028236651,-17.306501096644
0.93792,4926,6114.41977933288,-16.9325617304021
0.94769,5094,6061.37423727448,-13.5539240254079
0.95746,4905,6008.86447626968,-15.7614530108515
0.96723,4722,5956.79124151114,-17.9692747443965
0.977,5049,5904.96158848268,-12.0462421970945
0.98677,4854,5853.57235156545,-14.34710738512
0.99654,4776,5802.50344178649,-14.8534811975169
1.00631,4815,5751.8347915603,-13.5009666718851
1.01608,4668,5701.66533271894,-15.1291499512928
1.02585,4515,5651.94341086762,-16.9203745256944
1.03562,4575,5602.56069457029,-15.1918944524643
1.04539,4662,5553.55361102049,-13.0575389129518
1.05516,4512,5505.0882875275,-14.7843867323433
1.06493,4449,5456.94721748439,-15.1114656196798
1.0747,4440,5409.27136858919,-14.5463455208012
1.08447,4371,5361.92664456114,-14.9882560211114
1.09424,4266,5315.01849306013,-16.0610050571673
1.10401,4179,5268.54899817926,-16.854294574885
1.11378,4362,5222.41581627522,-13.027634164534
1.12355,4179,5176.68297975117,-15.4332139822762
1.13332,4173,5131.3194003438,-14.8349500305735
1.14309,4161,5086.3888217523,-14.3458204585755
1.15286,3903,5041.85001958916,-18.2291852324748
1.16263,4053,4997.68380062488,-14.8387789843912
1.1724,4188,4953.90462965946,-11.8350843680758
1.18217,4014,4910.50714483105,-14.150281219052
1.19194,3888,4867.47421132584,-15.7083249881463
1.20171,3915,4824.81839434066,-14.5408177034235
1.21148,3858,4782.53638903761,-14.8847963690587
1.22125,4071,4740.62491954055,-10.4949664844919
1.23102,3819,4699.08073868125,-14.2412361165268
1.24079,3738,4657.90062774787,-15.0460072483507
1.25056,3705,4617.08139623555,-14.9844046085727
1.26033,3828,4576.61988159923,-12.0997220008917
1.2701,3819,4536.51294900861,-11.6106067027538
1.27987,3822,4496.7574911053,-10.9144630113651
1.28964,3609,4457.35042776206,-14.1215328985896
1.29941,3660,4418.28870584415,-12.5341256733924
1.30918,3522,4379.56929897279,-14.4502229914738
1.31895,3603,4341.1892072907,-12.2980303426284
1.32872,3537,4303.14545722967,-12.8823086684072
